State,City,Street,Zipcode,Bedroom,Bathroom,Area,PPSq,LotArea,MarketEstimate,RentEstimate,Latitude,Longitude,ListedPrice
AL,Birmingham,Chase Ln #3015,35215.0,1.0,1.0,741.0,80.83670715249663,0.0,58500.0,741.0,33.66169,-86.67905,59900.0
AL,Troy,County Road 2225,36079.0,3.0,2.0,1920.0,148.4375,3.0,278400.0,1867.0,31.705172,-85.99862,285000.0
AL,Pelham,Trail Ridge Dr,35124.0,3.0,3.0,2517.0,109.2570520460866,0.88,273600.0,1949.0,33.338062,-86.79956,275000.0
AL,Dothan,Griffin Dr,36303.0,2.0,2.0,1773.0,107.15736040609136,0.65,188000.0,1500.0,31.256407,-85.43638,189990.0
AL,Fosters,Lock 9 Rd,35463.0,3.0,2.0,1292.0,177.94117647058823,0.55,,1371.0,33.067043,-87.694695,229900.0
AL,Duncanville,Butterfly Dr,35456.0,3.0,2.0,1224.0,162.58169934640523,,141100.0,1227.0,33.10935,-87.46574,199000.0
AL,Montgomery,George B Edmondson Dr,36110.0,3.0,1.0,1050.0,65.71428571428571,0.16,66500.0,950.0,32.40325,-86.28537,69000.0
AL,Tuscaloosa,Laurel Lake Dr,35405.0,4.0,2.0,1791.0,144.0536013400335,0.29,257400.0,1794.0,33.141556,-87.568474,258000.0
AL,Irvington,Oak St,36544.0,3.0,2.0,1505.0,132.3720930232558,0.8023,192200.0,1450.0,30.467716,-88.23551,199220.0
AL,Montgomery,Valley Brook Ln,36117.0,4.0,2.0,1488.0,122.98387096774194,0.2799999999999999,182400.0,1450.0,32.408894,-86.201035,183000.0
AL,Mobile,W Hillwood Dr,36605.0,4.0,2.0,2600.0,96.15384615384616,0.4337,,2100.0,30.62461,-88.09249,250000.0
AL,Cullman,County Road 710,35055.0,4.0,2.0,1600.0,93.75,4.8,149200.0,1822.0,34.148727,-86.77304,150000.0
AL,Webb,Ben Ivey Rd,36376.0,4.0,2.0,1313.0,49.42878903274943,0.0301423324150596,62300.0,1300.0,31.22486,-85.25838,64900.0
AL,Huntsville,Lynn Rd NW,35810.0,4.0,2.0,1511.0,119.12640635340834,0.39,179400.0,1433.0,34.78267,-86.58862,180000.0
AL,Guntersville,Wray Rd,35976.0,3.0,3.0,2149.0,65.10004653327128,0.5,139800.0,1800.0,34.300037,-86.39073,139900.0
AL,Mobile,Oak Lane Cir W,36618.0,3.0,1.0,1217.0,122.43221035332786,0.1883,,1300.0,30.71445,-88.135284,149000.0
AL,Birmingham,27th St,35218.0,3.0,2.0,1418.0,98.73060648801128,0.17,130000.0,1212.0,33.501514,-86.89199,140000.0
AL,Semmes,Wulff Rd S,36575.0,4.0,2.0,2520.0,118.77738095238097,0.9141,298200.0,2025.0,30.761631,-88.292496,299319.0
AL,Arab,Ruth Rd,35016.0,3.0,2.0,1712.0,113.90186915887853,1.0,194300.0,1628.0,34.356606,-86.522484,195000.0
AL,Guntersville,Buttercup Dr #425-427,35976.0,2.0,1.0,925.0,167.55675675675676,0.21,146600.0,1200.0,34.42224,-86.25966,154990.0
AL,Clanton,County Road 32,35046.0,3.0,2.0,1152.0,147.48263888888889,2.15,169500.0,1194.0,32.878918,-86.56741,169900.0
AL,Anniston,Eulaton Rd,36201.0,3.0,2.0,1696.0,29.451650943396228,0.5,,1194.0,33.654697,-85.90091,49950.0
AL,Rogersville,County Road 165,35652.0,3.0,3.0,1400.0,132.07142857142858,0.5,182100.0,1300.0,34.81635,-87.262695,184900.0
AL,Kellyton,Coosa County Road 50,35089.0,3.0,2.0,1760.0,79.48863636363636,3.0,,605.0,32.981277,-86.039116,139900.0
AL,Vernon,Pennington Ln,35592.0,3.0,1.0,1187.0,67.39679865206402,4.0,76700.0,1650.0,33.787724,-88.165764,80000.0
AL,Gallion,Maple St,36742.0,3.0,2.0,2925.0,135.04273504273505,6.0,393600.0,2459.0,32.512672,-87.71695,395000.0
AL,Wilmer,Fillingim Rd,36587.0,4.0,3.0,2541.0,118.0637544273908,2.3,298900.0,1099.0,30.790745,-88.30819,300000.0
AL,Thorsby,Jones St,35171.0,5.0,3.0,2370.0,116.83544303797468,10.0,,1905.0,32.91567,-86.69866,276900.0
AL,Cullman,Barton Dr NE,35055.0,3.0,2.0,2349.0,108.55683269476371,0.53,253100.0,1599.0,34.191113,-86.81209,255000.0
AL,Anniston,Parkwood Dr,36201.0,3.0,2.0,1016.0,157.48031496062993,0.5,159400.0,1032.0,33.688515,-85.862495,160000.0
AL,Grand Bay,Deer Cir,36541.0,4.0,3.0,2400.0,162.67083333333332,2.3,392200.0,2649.0,30.559324,-88.4035,390410.0
AL,Stevenson,County Road 370,35772.0,4.0,2.0,1755.0,136.6951566951567,0.68,238000.0,1599.0,34.907852,-85.76508,239900.0
AL,Huntsville,Antietam Rd SE,35803.0,3.0,2.0,1457.0,171.58544955387782,0.21,247200.0,1599.0,34.61809,-86.54882,250000.0
AL,Saraland,Deer Run Dr,36571.0,3.0,2.0,1828.0,108.31509846827132,0.4658,199700.0,1599.0,30.841074,-88.08948,198000.0
AL,Athens,Rolling Vista Dr,35613.0,4.0,2.0,1932.0,162.99171842650102,0.2,314100.0,1914.0,34.75443,-86.88578,314900.0
AL,Owens Cross Roads,Eastwood Dr,35763.0,3.0,2.0,1654.0,181.3180169286578,1.65,298300.0,1934.0,34.61488,-86.45121,299900.0
AL,Montgomery,Limestone Ct,36117.0,2.0,3.0,1320.0,101.51515151515152,,116400.0,1150.0,32.35384,-86.20596,134000.0
AL,Scottsboro,Woodall Ln,35768.0,3.0,2.0,1586.0,157.56620428751577,0.37,247400.0,1235.0,34.67045,-86.05488,249900.0
AL,Montgomery,Cottingham Dr,36106.0,4.0,2.0,1680.0,77.38035714285714,0.2760999999999999,128800.0,1394.0,32.34567,-86.23511,129999.0
AL,Chickasaw,6th St,36611.0,2.0,1.0,1316.0,72.56838905775076,0.1606,94900.0,1099.0,30.762444,-88.08054,95500.0
AL,Centreville,Wilson Rd,35042.0,3.0,2.0,1408.0,99.36079545454544,0.61,137400.0,1350.0,32.98726,-87.21477,139900.0
AL,Jasper,Forest Rd,35504.0,3.0,2.0,1800.0,152.77777777777777,,153900.0,1635.0,33.857433,-87.262695,275000.0
AL,Birmingham,5th Way Cir NW,35215.0,3.0,3.0,1992.0,110.4417670682731,0.42,184200.0,1270.0,33.642715,-86.702225,220000.0
AL,Dothan,Wimbledon Dr,36305.0,4.0,2.0,2241.0,124.9442213297635,0.3399999999999999,277900.0,2064.0,31.211576,-85.453156,280000.0
AL,Dothan,Granberry Dr,36303.0,3.0,1.0,1289.0,100.7757951900698,0.3399999999999999,118900.0,1185.0,31.275568,-85.43938,129900.0
AL,Florence,Malone Cir,35630.0,3.0,2.0,1272.0,141.4308176100629,0.2299999999999999,178800.0,1495.0,34.825504,-87.6715,179900.0
AL,Montgomery,Wilmington Rd,36105.0,3.0,2.0,1732.0,35.79676674364896,,59900.0,1320.0,32.34212,-86.30114,62000.0
AL,Mobile,S Georgia Ave,36604.0,4.0,3.0,3723.0,195.8098307816277,0.1504,729200.0,3759.0,30.680508,-88.06529,729000.0
AL,Montgomery,Greensboro Dr,36108.0,3.0,2.0,1000.0,110.0,0.19,106800.0,950.0,32.303844,-86.34714,110000.0
AL,Huntsville,Marymont Dr NW,35810.0,3.0,2.0,1320.0,155.3030303030303,0.3,204200.0,1494.0,34.778187,-86.605255,205000.0
AL,Huntsville,Kenwood Dr NW,35810.0,4.0,2.0,1569.0,143.33970681963035,0.43,224100.0,1432.0,34.784073,-86.58795,224900.0
AL,Prattville,Buckeye Cir,36067.0,3.0,2.0,1144.0,135.48951048951048,6.07,146900.0,1200.0,32.59268,-86.69812,155000.0
AL,Fairhope,Wisteria St,36532.0,4.0,4.0,3384.0,162.52955082742318,0.4,511400.0,2999.0,30.51387,-87.90105,550000.0
AL,Eufaula,Highway 30,36027.0,3.0,1.0,1216.0,119.24342105263158,0.45,138400.0,1099.0,31.872173,-85.21629,145000.0
AL,Mobile,Spring Grv N,36695.0,3.0,2.0,1539.0,155.94541910331384,0.2047,239800.0,1679.0,30.644339,-88.25151,240000.0
AL,Birmingham,47th St W,35208.0,4.0,2.0,2113.0,59.11026975863701,0.16,121500.0,1132.0,33.48694,-86.90086,124900.0
AL,Florence,Edgewood Dr,35630.0,3.0,1.0,1089.0,151.42332415059687,0.12,163500.0,999.0,34.817142,-87.68756,164900.0
AL,Ozark,S Highway 123,36360.0,3.0,2.0,1366.0,100.29282576866764,0.41,,665.0,31.412834,-85.61016,137000.0
AL,Scottsboro,Skyline Shores Dr,35769.0,3.0,4.0,2509.0,288.9597449182941,,667100.0,3721.0,34.571102,-86.11438,725000.0
AL,Boaz,Fire Tower Rd,35956.0,5.0,3.0,2554.0,77.9169929522318,3.32,184300.0,1796.0,34.157356,-86.18112,199000.0
AL,Guntersville,Browns Valley Rd,35976.0,5.0,4.0,3862.0,200.67322630761265,6.0,714200.0,2921.0,34.287952,-86.39717,775000.0
AL,Crane Hill,County Road 168,35053.0,3.0,2.0,1100.0,327.1818181818182,,359200.0,2839.0,33.96913,-87.106636,359900.0
AL,Mobile,Lumpkin Grove Ln,36608.0,3.0,2.0,1404.0,170.9045584045584,0.2502,239200.0,1628.0,30.64717,-88.32544,239950.0
AL,Daleville,Richardson Dr,36322.0,3.0,2.0,1530.0,111.04575163398692,0.29,168900.0,1452.0,31.31328,-85.703,169900.0
AL,Dothan,Santolina Rd,36303.0,4.0,4.0,2180.0,121.5137614678899,0.38,262500.0,1963.0,31.238642,-85.42869,264900.0
AL,Tuscaloosa,Stardust Dr,35405.0,4.0,3.0,2096.0,143.0820610687023,0.26,299400.0,1700.0,33.116016,-87.56847,299900.0
AL,Madison,Henderson Cir,35756.0,3.0,2.0,1968.0,193.03861788617888,0.95,379300.0,1925.0,34.74326,-86.802666,379900.0
AL,Repton,Halls Crossroads Rd,36475.0,3.0,2.0,1740.0,143.67816091954023,2.0,249100.0,820.0,31.401741,-87.3086,250000.0
AL,Anniston,Belmont Rd,36207.0,4.0,4.0,3125.0,63.2,0.37,189800.0,2034.0,33.6485,-85.81168,197500.0
AL,Foley,Abbey Loop,36535.0,3.0,2.0,1676.0,167.00477326968974,0.2,278500.0,1949.0,30.425716,-87.69967,279900.0
AL,Crane Hill,County Road 870,35053.0,3.0,1.0,1253.0,94.17398244213886,8.8,117300.0,1106.0,34.057236,-87.0346,118000.0
AL,Ramer,Strawberry Ct,36069.0,3.0,1.0,1050.0,119.04761904761904,1.0,122800.0,1025.0,32.05632,-86.18998,125000.0
AL,Cullman,County Road 897,35057.0,3.0,3.0,1680.0,184.52380952380952,2.3,213500.0,1650.0,34.17419,-87.00112,310000.0
AL,Prichard,Lorraine Ave,36610.0,2.0,1.0,1000.0,30.0,0.5,28100.0,1099.0,30.74002,-88.085205,30000.0
AL,Florala,Babe Lawrence Rd,36442.0,4.0,5.0,1400.0,196.42857142857144,21.44,274400.0,1674.0,31.01055,-86.250656,275000.0
AL,Brundidge,State Highway 10,36010.0,4.0,3.0,1652.0,102.90556900726392,2.35,163500.0,1275.0,31.726835,-85.755905,170000.0
AL,Trussville,Cahaba Forest Dr,35173.0,3.0,2.0,2032.0,145.1771653543307,0.36,296600.0,1781.0,33.6051,-86.599915,295000.0
AL,Satsuma,Dale Dr,36572.0,3.0,2.0,1640.0,134.08536585365854,0.3253,218500.0,1500.0,30.86227,-88.04361,219900.0
AL,Huntsville,Mercator Dr NW,35810.0,4.0,3.0,2800.0,64.25,0.4338842975206611,179400.0,1774.0,34.80451,-86.61303,179900.0
AL,Owens X Rds,Winstead Cir,35763.0,3.0,2.0,1520.0,170.39473684210526,0.1285583103764922,257700.0,1674.0,34.567997,-86.44204,259000.0
AL,Irvington,Irvington Bayou La Batre Hwy,36544.0,3.0,2.0,1593.0,52.66792215944759,0.9411,,528.0,30.461224,-88.235054,83900.0
AL,Mobile,Upham Pl,36607.0,3.0,2.0,1689.0,148.01657785671995,0.2428,249200.0,1500.0,30.689117,-88.090034,250000.0
AL,Northport,Saint James Ct,35475.0,3.0,2.0,1518.0,177.79973649538866,,257500.0,1635.0,33.298985,-87.60132,269900.0
AL,Pelham,Shine Dr,35124.0,3.0,3.0,1412.0,157.1529745042493,0.08,223900.0,1565.0,33.32549,-86.81488,221900.0
AL,Fairhope,Mockingbird Ln,36532.0,4.0,3.0,3146.0,190.6865861411316,0.3,573200.0,2500.0,30.572453,-87.88975,599900.0
AL,Birmingham,Matt Aaron Ln,35215.0,3.0,2.0,2032.0,127.9527559055118,0.2,260700.0,1622.0,33.651306,-86.658325,260000.0
AL,Madison,Liberty Dr,35758.0,4.0,3.0,2155.0,162.41252900232018,0.2,349400.0,2050.0,34.723103,-86.75427,349999.0
